ReaderWell,BarcodeID,Type,Timepoint,Group,BeforeAfter,Sample,Condition,SampleMass,PlateID,SampleWell
A01,Standard_0000,Standard,NA,NA,NA,NA,NA,0,Plate1,A01
A02,Standard_0050,Standard,NA,NA,NA,NA,NA,50,Plate1,A02
A03,Standard_0100,Standard,NA,NA,NA,NA,NA,100,Plate1,A03
A04,Standard_0200,Standard,NA,NA,NA,NA,NA,200,Plate1,A04
A05,Standard_0400,Standard,NA,NA,NA,NA,NA,400,Plate1,A05
A06,Standard_0600,Standard,NA,NA,NA,NA,NA,600,Plate1,A06
A07,Standard_0800,Standard,NA,NA,NA,NA,NA,800,Plate1,A07
A08,Standard_1000,Standard,NA,NA,NA,NA,NA,1000,Plate1,A08
A09,,,,,,,,,,
A10,,,,,,,,,,
A11,,,,,,,,,,
A12,,,,,,,,,,
B01,EXPID|SAMPLE|MMDDYY|a019u,Experiment,0,IV,Before,FP,Vancomycin,40.13,Plate1,A09
B02,EXPID|SAMPLE2|MMDDYY|a0u11,Experiment,1,IV,After,FP,Vancomycin,40.13,Plate1,A10
B03,EXPID|SAMPLE3|MMDDYY|a019p,Experiment,3,IV,After,FP,Vancomycin,40.13,Plate1,A11
B04,EXPID|SAMPLE4|MMDDYY|v019u,Experiment,10,IV,After,FP,Vancomycin,40.13,Plate1,A12
B05,,,,,,,,,,
B06,,,,,,,,,,
B07,,,,,,,,,,
B08,,,,,,,,,,
B09,,,,,,,,,,
B10,,,,,,,,,,
B11,,,,,,,,,,
B12,,,,,,,,,,
C01,,,,,,,,,,
C02,,,,,,,,,,
C03,,,,,,,,,,
C04,,,,,,,,,,
C05,,,,,,,,,,
C06,,,,,,,,,,
C07,,,,,,,,,,
C08,,,,,,,,,,
C09,,,,,,,,,,
C10,,,,,,,,,,
C11,,,,,,,,,,
C12,,,,,,,,,,
D01,,,,,,,,,,
D02,,,,,,,,,,
D03,,,,,,,,,,
D04,,,,,,,,,,
D05,,,,,,,,,,
D06,,,,,,,,,,
D07,,,,,,,,,,
D08,,,,,,,,,,
D09,,,,,,,,,,
D10,,,,,,,,,,
D11,,,,,,,,,,
D12,,,,,,,,,,
E01,,,,,,,,,,
E02,,,,,,,,,,
E03,,,,,,,,,,
E04,,,,,,,,,,
E05,,,,,,,,,,
E06,,,,,,,,,,
E07,,,,,,,,,,
E08,,,,,,,,,,
E09,,,,,,,,,,
E10,,,,,,,,,,
E11,,,,,,,,,,
E12,,,,,,,,,,
F01,,,,,,,,,,
F02,,,,,,,,,,
F03,,,,,,,,,,
F04,,,,,,,,,,
F05,,,,,,,,,,
F06,,,,,,,,,,
F07,,,,,,,,,,
F08,,,,,,,,,,
F09,,,,,,,,,,
F10,,,,,,,,,,
F11,,,,,,,,,,
F12,,,,,,,,,,
G01,,,,,,,,,,
G02,,,,,,,,,,
G03,,,,,,,,,,
G04,,,,,,,,,,
G05,,,,,,,,,,
G06,,,,,,,,,,
G07,,,,,,,,,,
G08,,,,,,,,,,
G09,,,,,,,,,,
G10,,,,,,,,,,
G11,,,,,,,,,,
G12,,,,,,,,,,
H01,,,,,,,,,,
H02,,,,,,,,,,
H03,,,,,,,,,,
H04,,,,,,,,,,
H05,,,,,,,,,,
H06,,,,,,,,,,
H07,,,,,,,,,,
H08,,,,,,,,,,
H09,,,,,,,,,,
H10,,,,,,,,,,
H11,,,,,,,,,,
H12,,,,,,,,,,
