"Taxon","A","AintoBonce","AwithB","B","BintoAonce"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae",3.54447445826815e-05,0.00560017699752266,0.00146990633925452,0.00531903028964577,0.00437715344044206
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae",8.295578519334e-05,0.00639075316534065,0.0382425389574664,0.0280271513893294,0.0298527488389721
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae",0.00563571438864627,0.00149925998359062,0.00526240740389264,0.00324263037507313,0.00317117112209475
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae",0.453998158776234,0.250061446675058,0.397930760813284,0.353467341390221,0.360373136036862
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae",0.010645489670849,0.0135090883815245,0.0160262603785318,0.00942814198499773,0.014065627972044
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae",0.0132819753529938,0.00463321730222692,0.0097202908284079,0.00498166081200355,0.00692658756421686
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]",9.04972202114242e-05,0.013033482798501,0.0214884608770285,0.0169837620131319,0.00877617702655571
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]",0.00451882786253695,0.00150240968944234,0.00237075913212495,0.00075119318943408,0.00188708114063145
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae",0.00352335844022006,0.00108664851752201,0.00510721098214871,1.09220334489481e-05,0.00650480618345003
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__",0.00620358444546556,0.03604523372311,0.00507153364381107,0.0353703985448182,0.00894488957886685
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae",0.0118619231391725,0.00412926436656771,0.00295051588000827,0.00348534222948963,0.00548628225654362
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae",0.0181303639257629,0.0163658715855274,0.0148952887533816,0.00881772167112666,0.0160589355345356
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae",0.123323578555872,0.169526617850302,0.290186982919104,0.189380778648953,0.174064489384003
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae",0.0037586512127661,3.14970584787503e-06,1.60548022491482e-05,4.85423708842254e-06,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae",0.0743419581164318,0.422391302729317,0.122378622077503,0.316471986980495,0.402863704766626
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae",0.0437878341426316,0.0147217251329961,0.0444396926256523,0.0166573145689483,0.0150529088337304
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae",0.013379259864705,0.00604113581622695,0.0106443338912019,0.00337248121718678,0.00714216471439097
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae",8.59723592008928e-05,0.0143374610195632,0.0174711925808757,0.0189193890521734,0.016162037649854
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae",0.0111341746599641,0.00115594204617042,0.0124299846746681,0.00531053537474037,0.00673288055971433
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae",5.95773366389549e-05,0.0121799125137678,0.0145510024384709,0.00994026399782353,0.0135501173955622
