"Taxon","A","AintoBonce","AwithB","B","BintoAonce"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",3.54447445826815e-05,0.00560017699752266,0.00146990633925452,0.00531903028964577,0.00437715344044206
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",8.295578519334e-05,0.00639075316534065,0.0382425389574664,0.0280271513893294,0.0298527488389721
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella",0.00563571438864627,0.00149925998359062,0.00526240740389264,0.00324263037507313,0.00317117112209475
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides",0.453998158776234,0.250061446675058,0.397930760813284,0.353467341390221,0.360373136036862
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides",0.010645489670849,0.0135090883815245,0.0160262603785318,0.00942814198499773,0.014065627972044
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__",0.0132819753529938,0.00463321730222692,0.0097202908284079,0.00498166081200355,0.00692658756421686
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__",9.04972202114242e-05,0.013033482798501,0.0214884608770285,0.0169837620131319,0.00877617702655571
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter",0.00451882786253695,0.00150240968944234,0.00237075913212495,0.00075119318943408,0.00188708114063145
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0.00352335844022006,0.00108664851752201,0.00510721098214871,1.09220334489481e-05,0.00650480618345003
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__",0.00620358444546556,0.03604523372311,0.00507153364381107,0.0353703985448182,0.00894488957886685
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella",0.0118619231391725,0.00412926436656771,0.00295051588000827,0.00348534222948963,0.00548628225654362
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__",0.0180775738806427,0.00867428990505577,0.00493595975815077,5.21830487005757e-05,0.0113193625372358
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium",5.27900451231579e-05,0.00769158168051136,0.00995932899522049,0.00876553862242794,0.00473957299725572
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__",0.0954006612597924,0.0903997075399436,0.238285374981814,0.101970531398014,0.09082359065936
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia",0.0278912432690554,0.0790891138402173,0.0246780149238597,0.0703476038854965,0.0832190285793898
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea",3.16740270738788e-05,3.77964701745401e-05,0.0272235930138432,0.0170626433658543,2.18701456696113e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium",0.0037586512127661,3.14970584787503e-06,1.60548022491482e-05,4.85423708842254e-06,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__",0.0594317869430813,0.383366447274295,0.0698919057912858,0.285671852654144,0.361885300395086
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira",0.00824128018720124,0.00424895318878404,0.00718363207303979,0.00538092181252651,0.00846687068065563
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus",0.00666889098605358,0.0347759022664267,0.0453030842132702,0.0254192125135567,0.0325115336911159
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium",4.07237490950212e-05,0.00537339817647701,0.00667344613489627,0.00957862333474172,0.00368355739206774
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania",0.00239289733107755,0.00043780911285456,0.00139320006184513,3.64067781631948e-06,0.0010153996203745
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]",0.0413542130624385,0.00891051784364664,0.0363730464289419,0.00707505055638699,0.0103539518212981
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella",0.013379259864705,0.00604113581622695,0.0106443338912019,0.00337248121718678,0.00714216471439097
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila",8.59723592008928e-05,0.0143374610195632,0.0174711925808757,0.0189193890521734,0.016162037649854
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__",0.0111341746599641,0.00115594204617042,0.0124299846746681,0.00531053537474037,0.00673288055971433
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia",5.95773366389549e-05,0.0121799125137678,0.0145510024384709,0.00994026399782353,0.0135501173955622
