"Taxon","A","AintoBonce","AwithB","B","BintoAonce"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales",3.54447445826815e-05,0.00560017699752266,0.00146990633925452,0.00531903028964577,0.00437715344044206
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales",8.295578519334e-05,0.00639075316534065,0.0382425389574664,0.0280271513893294,0.0298527488389721
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales",0.00563571438864627,0.00149925998359062,0.00526240740389264,0.00324263037507313,0.00317117112209475
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales",0.482534948882992,0.282739644846663,0.447536532029491,0.38561209939024,0.392028609740784
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales",0.00352335844022006,0.00108664851752201,0.00510721098214871,1.09220334489481e-05,0.00650480618345003
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales",0.237620059395471,0.648461439961064,0.435498998076289,0.553531082311422,0.607418301521512
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales",0.0437878341426316,0.0147217251329961,0.0444396926256523,0.0166573145689483,0.0150529088337304
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales",0.013379259864705,0.00604113581622695,0.0106443338912019,0.00337248121718678,0.00714216471439097
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales",8.59723592008928e-05,0.0143374610195632,0.0174711925808757,0.0189193890521734,0.016162037649854
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales",0.0111341746599641,0.00115594204617042,0.0124299846746681,0.00531053537474037,0.00673288055971433
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales",5.95773366389549e-05,0.0121799125137678,0.0145510024384709,0.00994026399782353,0.0135501173955622
