ReaderWell,BarcodeID,Type,Timepoint,Cage,Animal,Compare,SampleMass,PlateID,SampleWell
A01,TrB1|0000000001a|033016|bq1xO,Experiment,0,1,1a,Control,24.9,TrB1_Plate1,A01
A02,TrB1|0000000001b|033016|AtEnp,Experiment,0,1,1b,Control,26.73,TrB1_Plate1,A02
A03,TrB1|0000000001c|033016|Q7SMt,Experiment,0,1,1c,Control,17.69,TrB1_Plate1,A03
A04,TrB1|0000000002a|033016|aGbgz,Experiment,0,2,2a,Control,20.7,TrB1_Plate1,A04
A05,TrB1|0000000002b|033016|eND3P,Experiment,0,2,2b,Control,33.51,TrB1_Plate1,A05
A06,TrB1|0000000002c|033016|p0sRX,Experiment,0,2,2c,Control,27.1,TrB1_Plate1,A06
A07,TrB1|0000000003a|033016|vCXf3,Experiment,0,3,3a,Control,25.53,TrB1_Plate1,A07
A08,TrB1|0000000003b|033016|OT5tu,Experiment,0,3,3b,Control,24.11,TrB1_Plate1,A08
A09,TrB1|0000000003c|033016|fpOFW,Experiment,0,3,3c,Control,24.95,TrB1_Plate1,A09
A10,TrB1|0000000004a|033016|qJ2Ea,Experiment,0,4,4a,Control,24.8,TrB1_Plate1,A10
A11,TrB1|0000000004b|033016|5QBnp,Experiment,0,4,4b,Control,23.75,TrB1_Plate1,A11
A12,TrB1|0000000004c|033016|MMHmP,Experiment,0,4,4c,Control,41.85,TrB1_Plate1,A12
B01,TrB1|0000000005a|033016|h4h0x,Experiment,0,5,5a,Control,13.5,TrB1_Plate1,B01
B02,TrB1|0000000005b|033016|yrtD4,Experiment,0,5,5b,Control,18.8,TrB1_Plate1,B02
B03,TrB1|0000000005c|033016|o8wjr,Experiment,0,5,5c,Control,17.18,TrB1_Plate1,B03
B04,TrB1|0000000006a|033016|BFb0P,Experiment,0,6,6a,Control,18.9,TrB1_Plate1,B04
B05,TrB1|0000000006b|033016|N5eCM,Experiment,0,6,6b,Control,28.19,TrB1_Plate1,B05
B06,TrB1|0000000006c|033016|b4EPb,Experiment,0,6,6c,Control,12.36,TrB1_Plate1,B06
B07,TrB1|0000000007a|033016|QeOi1,Experiment,0,7,7a,Control,25.49,TrB1_Plate1,B07
B08,TrB1|0000000007b|033016|51guT,Experiment,0,7,7b,Control,19.5,TrB1_Plate1,B08
B09,TrB1|0000000007c|033016|VgjAg,Experiment,0,7,7c,Control,27.67,TrB1_Plate1,B09
B10,TrB1|0000000008a|033016|WLv3C,Experiment,0,8,8a,Control,15.24,TrB1_Plate1,B10
B11,TrB1|0000000008b|033016|4OXmQ,Experiment,0,8,8b,Control,34.66,TrB1_Plate1,B11
B12,TrB1|0000000008c|033016|rQTxd,Experiment,0,8,8c,Control,25.15,TrB1_Plate1,B12
C01,TrB1|0000000009a|033016|WhDf4,Experiment,0,9,9a,Control,17.82,TrB1_Plate1,C01
C02,TrB1|0000000009b|033016|CfctN,Experiment,0,9,9b,Control,12.46,TrB1_Plate1,C02
C03,TrB1|0000000009c|033016|GNWa7,Experiment,0,9,9c,Control,25.08,TrB1_Plate1,C03
C04,TrB1|0000000010a|033016|snVOk,Experiment,0,10,10a,Control,15.06,TrB1_Plate1,C04
