"WaterSource","WaterWell","DNASource","DNASourceWell","Destination","DestinationWell","DNA_Vol","Water_Vol","Warning","BarcodeID","PlateID","SampleWell","SequencingRun","BarcodePlate","BarcodeWell","NormalizedVolume","StartingConc","FinalConc"
"WaterSource",1,"Unnormalized_Abs2",14,"Normalized_Plate1",1,4.9,95.1,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000005b-FP|031317|8AcKE","Abs2","B02","16S_Run2","Plate1","A01",100,40.4724790284444,2
"WaterSource",1,"Unnormalized_Abs2",15,"Normalized_Plate1",2,5.6,94.4,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000005c-FP|031317|fNInJ","Abs2","B03","16S_Run2","Plate1","A02",100,35.7703750226559,2
"WaterSource",1,"Unnormalized_Abs2",16,"Normalized_Plate1",3,6.3,33.7,"20 >= Starting Concentration > 2: Transferred [DNAvol + Water/EB]= 40 uL","Abs2|0000006a-FP|031317|EOsqg","Abs2","B04","16S_Run2","Plate1","A03",40,12.7300653942922,2
"WaterSource",1,"Unnormalized_Abs2",17,"Normalized_Plate1",4,8.4,91.6,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000006b-FP|031317|tO8G5","Abs2","B05","16S_Run2","Plate1","A04",100,23.9345075109425,2
"WaterSource",1,"Unnormalized_Abs2",18,"Normalized_Plate1",5,9.4,30.6,"20 >= Starting Concentration > 2: Transferred [DNAvol + Water/EB]= 40 uL","Abs2|0000006c-FP|031317|XQX0Y","Abs2","B06","16S_Run2","Plate1","A05",40,8.47130262333521,2
"WaterSource",1,"Unnormalized_Abs2",19,"Normalized_Plate1",6,3.6,96.4,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000007a-FP|031317|qi4a2","Abs2","B07","16S_Run2","Plate1","A06",100,55.6171848191505,2
"WaterSource",1,"Unnormalized_Abs2",20,"Normalized_Plate1",7,2.9,97.1,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000007b-FP|031317|mdVbV","Abs2","B08","16S_Run2","Plate1","A07",100,69.7211989432874,2
"WaterSource",1,"Unnormalized_Abs2",21,"Normalized_Plate1",8,6.3,93.7,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000007c-FP|031317|2FZZF","Abs2","B09","16S_Run2","Plate1","A08",100,31.8676286978514,2
"WaterSource",1,"Unnormalized_Abs2",22,"Normalized_Plate1",9,8.5,91.5,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000008a-FP|031317|TKZPl","Abs2","B10","16S_Run2","Plate1","A09",100,23.618794813411,2
"WaterSource",1,"Unnormalized_Abs2",23,"Normalized_Plate1",10,4.9,35.1,"20 >= Starting Concentration > 2: Transferred [DNAvol + Water/EB]= 40 uL","Abs2|0000008b-FP|031317|4Ql12","Abs2","B11","16S_Run2","Plate1","A10",40,16.3439681873125,2
"WaterSource",1,"Unnormalized_Abs2",24,"Normalized_Plate1",11,4.1,35.9,"20 >= Starting Concentration > 2: Transferred [DNAvol + Water/EB]= 40 uL","Abs2|0000008c-FP|031317|9St8c","Abs2","B12","16S_Run2","Plate1","A11",40,19.4406395396961,2
"WaterSource",1,"Unnormalized_Abs2",25,"Normalized_Plate1",12,3.9,96.1,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000009a-FP|031317|z12np","Abs2","C01","16S_Run2","Plate1","A12",100,51.3141874075053,2
"WaterSource",1,"Unnormalized_Abs2",26,"Normalized_Plate1",13,3.6,96.4,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000009b-FP|031317|Vr4sN","Abs2","C02","16S_Run2","Plate1","B01",100,55.0825879035729,2
"WaterSource",1,"Unnormalized_Abs2",27,"Normalized_Plate1",14,7.5,92.5,"100 >= Starting Concentration > 20: Transferred [DNAvol + Water/EB]= 100 uL","Abs2|0000009c-FP|031317|an59K","Abs2","C03","16S_Run2","Plate1","B02",100,26.7221834572314,2
