ReaderWell,Type,BarcodeID,SampleMass,SampleWell,TubeBarcode,Full Mass,Full Weight Date,Full Weight Time,Empty Mass,Empty Weight Date,Empty Weight Time,Experiment,Date,Cage,Animal,Timepoint,Sex,Condition,Sample,Replicate
A01,Experiment,SW_Abs|00000008a|083017|ZEOvr,38.69999999999993,A01,0231322517,974.9,9/7/2017,10:34:58,936.2,8/15/17,17:06:56,SW_Abs1,30-Aug,8,8a,2,Female,1001262B+AVNC,FP,NA
A02,Experiment,SW_Abs|00000001a|090117|kmSFB,61.19999999999993,A02,0231322445,998.3,9/7/2017,10:35:06,937.1,8/15/17,17:07:12,SW_Abs1,31-Aug,1,1a,3,Male,AS4413,FP,NA
A03,Experiment,SW_Abs|00000001b|090117|vPhZA,32,A03,0231322462,968.1,9/7/2017,10:35:10,936.1,8/15/17,17:07:21,SW_Abs1,31-Aug,1,1b,3,Male,AS4413,FP,NA
A04,Experiment,SW_Abs|00000002a|090117|VGBO5,88.79999999999995,A04,0231322484,1023.5,9/7/2017,10:35:17,934.7,8/15/17,17:07:26,SW_Abs1,31-Aug,2,2a,3,Male,NB71813,FP,NA
A05,Experiment,SW_Abs|00000002b|090117|o0k9G,26.59999999999991,A05,0231322512,960.3,9/7/2017,10:35:21,933.7,8/15/17,17:07:33,SW_Abs1,31-Aug,2,2b,3,Male,NB71813,FP,NA
A06,Experiment,SW_Abs|00000003a|090117|72BP4,97.89999999999998,A06,0231322487,1032,9/7/2017,10:35:25,934.1,8/15/17,17:07:39,SW_Abs1,31-Aug,3,3a,3,Male,GZ35-1,FP,NA
A07,Experiment,SW_Abs|00000003b|090117|3FTmt,81.20000000000005,A07,0231322535,1024.4,9/7/2017,10:35:28,943.2,8/15/17,17:07:44,SW_Abs1,31-Aug,3,3b,3,Male,GZ35-1,FP,NA
A08,Experiment,SW_Abs|00000004a|090117|hNGut,52.60000000000002,A08,0231322508,986.2,9/7/2017,10:35:32,933.6,8/15/17,17:07:50,SW_Abs1,31-Aug,4,4a,3,Female,1001095A+1001099B,FP,NA
A09,Experiment,SW_Abs|00000004b|090117|LhoYM,40.60000000000002,A09,0231322488,975.6,9/7/2017,10:35:36,935,8/15/17,17:07:56,SW_Abs1,31-Aug,4,4b,3,Female,1001095A+1001099B,FP,NA
A10,Experiment,SW_Abs|00000005a|090117|xLH85,53.60000000000002,A10,0231322467,987.9,9/7/2017,10:35:42,934.3,8/15/17,17:08:03,SW_Abs1,31-Aug,5,5a,3,Male,1001095A+1001099B,FP,NA
A11,Experiment,SW_Abs|00000005b|090117|ETVjZ,102.60000000000014,A11,0231322491,1037.9,9/7/2017,10:35:46,935.3,8/15/17,17:08:09,SW_Abs1,31-Aug,5,5b,3,Male,1001095A+1001099B,FP,NA
A12,Experiment,SW_Abs|00000005c|090117|WRTSc,84.49999999999989,A12,0231322519,1026.6,9/7/2017,10:35:50,942.1,8/15/17,17:08:14,SW_Abs1,31-Aug,5,5c,3,Male,1001095A+1001099B,FP,NA
B01,Experiment,SW_Abs|00000006a|090117|a5iyE,33.5,B01,0231322509,968.2,9/7/2017,10:35:59,934.7,8/15/17,17:08:23,SW_Abs1,31-Aug,6,6a,3,Male,1001254A+1001262B,FP,NA
B02,Experiment,SW_Abs|00000006b|090117|8NDro,73.80000000000007,B02,0231322486,1013.6,9/7/2017,10:36:07,939.8,8/15/17,17:08:32,SW_Abs1,31-Aug,6,6b,3,Male,1001254A+1001262B,FP,NA
B03,Experiment,SW_Abs|00000007a|090117|yrJ0D,51.19999999999993,B03,0231322494,985.8,9/7/2017,10:36:14,934.6,8/15/17,17:08:38,SW_Abs1,31-Aug,7,7a,3,Male,1001099B+AVNC,FP,NA
B04,Experiment,SW_Abs|00000007b|090117|Qt8e8,83.10000000000002,B04,0231322465,1019.7,9/7/2017,10:36:18,936.6,8/15/17,17:08:47,SW_Abs1,31-Aug,7,7b,3,Male,1001099B+AVNC,FP,NA
B05,Experiment,SW_Abs|00000008a|090117|w5Rnn,31.399999999999977,B05,0231322471,965.5,9/7/2017,10:36:22,934.1,8/15/17,17:08:53,SW_Abs1,31-Aug,8,8a,3,Female,1001262B+AVNC,FP,NA
B06,Experiment,SW_Abs|00000008b|090117|p4HKp,37.5,B06,0231322460,971.2,9/7/2017,10:36:27,933.7,8/15/17,17:09:00,SW_Abs1,31-Aug,8,8b,3,Female,1001262B+AVNC,FP,NA
B07,Experiment,SW_Abs|00000009a|090117|xBxcf,42.89999999999998,B07,0231322432,985.9,9/7/2017,10:36:31,943,8/21/17,16:21:43,SW_Abs1,31-Aug,9,9a,7,Male,Conventional,FP,NA
B08,Experiment,SW_Abs|00000009b|090117|ye8X5,34,B08,0231322384,969.2,9/7/2017,10:36:35,935.2,8/21/17,16:21:52,SW_Abs1,31-Aug,9,9b,7,Male,Conventional,FP,NA
