Experiment,Date,BarcodeID,Cage,Animal,Timepoint,Sex,Condition
SW_Abs,8/22/17,SW_Abs|00000001a|082217|xbmy9,1,1a,-6,Male,AS4413
SW_Abs,8/22/17,SW_Abs|00000001b|082217|pVqGj,1,1b,-6,Male,AS4413
SW_Abs,8/22/17,SW_Abs|00000002a|082217|es7ny,2,2a,-6,Male,NB71813
SW_Abs,8/22/17,SW_Abs|00000002b|082217|XwQWV,2,2b,-6,Male,NB71813
SW_Abs,8/22/17,SW_Abs|00000003a|082217|YYR8A,3,3a,-6,Male,GZ35-1
SW_Abs,8/22/17,SW_Abs|00000003b|082217|QqWqr,3,3b,-6,Male,GZ35-1
SW_Abs,8/22/17,SW_Abs|00000004a|082217|UbeQT,4,4a,-6,Female,1001095A
SW_Abs,8/22/17,SW_Abs|00000004b|082217|RHDXE,4,4b,-6,Female,1001095A
SW_Abs,8/22/17,SW_Abs|00000005a|082217|C2vif,5,5a,-6,Male,1001095A
SW_Abs,8/22/17,SW_Abs|00000005b|082217|JtKWU,5,5b,-6,Male,1001095A
SW_Abs,8/22/17,SW_Abs|00000005c|082217|hPIbv,5,5c,-6,Male,1001095A
SW_Abs,8/22/17,SW_Abs|00000006a|082217|jzRrW,6,6a,-6,Male,1001254A
SW_Abs,8/22/17,SW_Abs|00000006b|082217|pS1cr,6,6b,-6,Male,1001254A
SW_Abs,8/22/17,SW_Abs|00000007a|082217|e8M73,7,7a,-6,Male,1001099B
SW_Abs,8/22/17,SW_Abs|00000007b|082217|8Vc9k,7,7b,-6,Male,1001099B
SW_Abs,8/22/17,SW_Abs|00000008a|082217|wIBga,8,8a,-6,Female,1001262B
SW_Abs,8/22/17,SW_Abs|00000008b|082217|7csgy,8,8b,-6,Female,1001262B
SW_Abs,8/25/17,SW_Abs|00000001a|082517|PW8Ap,1,1a,-3,Male,AS4413
SW_Abs,8/25/17,SW_Abs|00000001b|082517|Rt8yZ,1,1b,-3,Male,AS4413
SW_Abs,8/25/17,SW_Abs|00000002a|082517|0kt6N,2,2a,-3,Male,NB71813
SW_Abs,8/25/17,SW_Abs|00000002b|082517|C5nCj,2,2b,-3,Male,NB71813
SW_Abs,8/25/17,SW_Abs|00000003a|082517|iTJMk,3,3a,-3,Male,GZ35-1
SW_Abs,8/25/17,SW_Abs|00000003b|082517|SFBUI,3,3b,-3,Male,GZ35-1
SW_Abs,8/25/17,SW_Abs|00000004a|082517|x7fTu,4,4a,-3,Female,1001095A
SW_Abs,8/25/17,SW_Abs|00000004b|082517|82c4l,4,4b,-3,Female,1001095A
SW_Abs,8/25/17,SW_Abs|00000005a|082517|CpUBq,5,5a,-3,Male,1001095A
SW_Abs,8/25/17,SW_Abs|00000005b|082517|gTaKa,5,5b,-3,Male,1001095A
SW_Abs,8/25/17,SW_Abs|00000005c|082517|eT4qb,5,5c,-3,Male,1001095A
SW_Abs,8/25/17,SW_Abs|00000006a|082517|Pk2E4,6,6a,-3,Male,1001254A
SW_Abs,8/25/17,SW_Abs|00000006b|082517|qpnBh,6,6b,-3,Male,1001254A
SW_Abs,8/25/17,SW_Abs|00000007a|082517|4e5l9,7,7a,-3,Male,1001099B
SW_Abs,8/25/17,SW_Abs|00000007b|082517|bpvL3,7,7b,-3,Male,1001099B
SW_Abs,8/25/17,SW_Abs|00000008a|082517|i0cE5,8,8a,-3,Female,1001262B
SW_Abs,8/25/17,SW_Abs|00000008b|082517|X5qEl,8,8b,-3,Female,1001262B
SW_Abs,8/28/17,SW_Abs|00000001a|082817|5NRao,1,1a,0,Male,AS4413
